time,pwmL,pwmR,encL,encR
23.4503765106201,0,0,1887,2070
23.4608001708984,0,0,1887,2070
23.4712524414063,0,0,1887,2070
23.4821929931641,0,0,1887,2070
23.4931621551514,0,0,1887,2070
23.5036239624023,0,0,1887,2070
23.5145969390869,0,0,1887,2070
23.5253887176514,0,0,1887,2070
23.535945892334,0,0,1887,2070
23.5468902587891,0,0,1887,2070
23.5577373504639,0,0,1887,2070
23.5683403015137,0,0,1887,2070
23.5792922973633,0,0,1887,2070
23.5903053283691,0,0,1887,2070
23.6009006500244,0,0,1887,2070
23.6118621826172,0,0,1887,2070
23.6227779388428,0,0,1887,2070
23.6332702636719,0,0,1887,2070
23.6442337036133,0,0,1887,2070
23.6552333831787,0,0,1887,2070
23.6658802032471,0,0,1887,2070
23.6768569946289,0,0,1887,2070
23.6878051757812,0,0,1887,2070
23.6982536315918,0,0,1887,2070
23.7091655731201,0,0,1887,2070
23.7200260162354,0,0,1887,2070
23.7314643859863,0,0,1887,2070
23.7420120239258,0,0,1887,2070
23.7531089782715,500,500,1880,2063
23.7641410827637,500,500,1857,2040
23.7746734619141,500,500,1831,2016
23.7852611541748,500,500,1800,1988
23.7963771820068,500,500,1761,1950
23.8073406219482,500,500,1722,1908
23.8184604644775,500,500,1692,1873
23.82932472229,500,500,1659,1836
23.841100692749,500,500,1616,1791
23.8527698516846,500,500,1570,1746
23.8641757965088,500,500,1526,1702
23.8757743835449,500,500,1477,1654
23.8873081207275,500,500,1427,1603
23.8990058898926,500,500,1376,1551
23.9106616973877,500,500,1323,1498
23.9222927093506,500,500,1270,1444
23.9327812194824,500,500,1222,1395
23.9436683654785,500,500,1172,1344
23.9547004699707,500,500,1120,1291
23.9663410186768,500,500,1063,1234
23.9768333435059,500,500,1012,1183
23.9877529144287,500,500,959,1128
23.998664855957,500,500,906,1073
24.0103397369385,500,500,848,1015
24.0208320617676,500,500,796,962
24.03173828125,500,500,743,907
24.0427379608154,500,500,689,851
24.0532417297363,500,500,636,799
24.0641574859619,500,500,582,745
24.0751323699951,500,500,526,690
24.0856685638428,500,500,474,637
24.0966358184814,500,500,419,582
24.1075248718262,500,500,364,527
24.1192245483398,500,500,306,469
24.1297569274902,500,500,253,416
24.1398582458496,500,500,202,364
24.1503982543945,500,500,149,311
24.1613445281982,500,500,93,256
24.172233581543,500,500,38,200
24.1831493377686,500,500,-16,144
24.1935920715332,500,500,-68,92
24.204568862915,500,500,-123,37
24.2154903411865,500,500,-178,-18
24.2272701263428,500,500,-237,-77
24.237964630127,0,0,-285,-126
24.2487525939941,0,0,-316,-157
24.2595176696777,0,0,-334,-177
24.2701358795166,0,0,-347,-190
24.2808094024658,0,0,-356,-200
24.2912998199463,0,0,-363,-208
24.3019771575928,0,0,-368,-212
24.3129634857178,0,0,-370,-214
24.323974609375,0,0,-371,-215
24.3345260620117,0,0,-371,-215
24.3454532623291,0,0,-372,-215
24.3564167022705,0,0,-372,-215
24.3669967651367,0,0,-372,-214
24.3779525756836,0,0,-372,-214
24.388843536377,0,0,-372,-214
24.3993015289307,0,0,-372,-214
24.410249710083,0,0,-372,-214
24.4212169647217,0,0,-372,-214
24.4318332672119,0,0,-372,-214
24.4427452087402,0,0,-372,-214
24.4536972045898,0,0,-372,-214
24.4642524719238,0,0,-372,-214
24.4752197265625,0,0,-372,-214
24.4862499237061,0,0,-372,-214
24.4968395233154,0,0,-372,-214
24.5077381134033,0,0,-372,-214
24.5186500549316,0,0,-372,-214
24.529224395752,0,0,-372,-214
24.5396690368652,0,0,-372,-213
24.5502414703369,0,0,-372,-213
24.5611572265625,0,0,-372,-213
24.5717086791992,0,0,-372,-213
24.5821399688721,0,0,-370,-212
24.5926361083984,0,0,-369,-212
24.6036968231201,0,0,-368,-212
24.614631652832,0,0,-368,-212
24.6251583099365,0,0,-368,-212
24.636194229126,0,0,-368,-212
24.6472015380859,0,0,-368,-212
24.6577854156494,0,0,-368,-212
24.6681900024414,0,0,-370,-213
24.6787128448486,0,0,-370,-214
24.6897525787354,0,0,-370,-214
24.7006721496582,0,0,-370,-214
24.7111434936523,0,0,-370,-214
24.7220420837402,100,100,-370,-214
24.7320003509521,100,100,-374,-210
24.7439613342285,100,100,-380,-204
24.7548980712891,100,100,-384,-200
24.7658061981201,100,100,-389,-196
24.7767162322998,100,100,-394,-191
24.7876091003418,100,100,-397,-187
24.7984886169434,100,100,-400,-183
24.8093185424805,100,100,-402,-180
24.8202934265137,100,100,-404,-176
24.831205368042,100,100,-406,-173
24.842077255249,100,100,-407,-170
24.8529739379883,100,100,-409,-167
24.8638134002686,100,100,-410,-164
24.8746242523193,100,100,-412,-161
24.8854598999023,100,100,-413,-158
24.8962421417236,100,100,-415,-156
24.907096862793,100,100,-416,-153
24.9179744720459,100,100,-418,-150
24.9288940429687,100,100,-419,-148
24.9397258758545,100,100,-421,-146
24.950532913208,100,100,-422,-144
24.9621448516846,100,100,-424,-141
24.9730052947998,100,100,-426,-139
24.9837493896484,100,100,-427,-137
24.9945373535156,100,100,-429,-135
25.0053539276123,100,100,-431,-132
25.0161647796631,100,100,-432,-131
25.0271282196045,100,100,-434,-129
25.0380039215088,100,100,-436,-128
25.0487804412842,100,100,-437,-126
25.0595588684082,100,100,-439,-125
25.0703983306885,100,100,-441,-124
25.0812740325928,100,100,-443,-124
25.0921535491943,100,100,-445,-124
25.1029968261719,100,100,-446,-124
25.1137447357178,100,100,-448,-124
25.1245040893555,100,100,-449,-124
25.1353740692139,100,100,-451,-124
25.1462898254395,100,100,-453,-124
25.1571807861328,100,100,-454,-124
25.1680488586426,100,100,-455,-124
25.1789417266846,100,100,-457,-124
25.1897087097168,100,100,-458,-124
25.2004928588867,100,100,-460,-124
25.2117156982422,0,0,-461,-124
25.2222309112549,0,0,-461,-125
25.233190536499,0,0,-460,-126
25.2441577911377,0,0,-460,-126
25.2546424865723,0,0,-460,-126
25.265661239624,0,0,-460,-126
25.2765960693359,0,0,-460,-126
25.2871608734131,0,0,-460,-126
25.2980842590332,0,0,-460,-126
25.3091411590576,0,0,-460,-126
25.3195972442627,0,0,-460,-126
25.3305225372314,0,0,-460,-126
25.3414611816406,0,0,-460,-126
25.3520011901855,0,0,-460,-126
25.3629055023193,0,0,-460,-126
25.3737888336182,0,0,-460,-126
25.3842372894287,0,0,-460,-126
25.3951168060303,0,0,-460,-126
25.40602684021,0,0,-460,-126
25.4171810150146,0,0,-460,-126
25.4277172088623,0,0,-460,-126
25.4381008148193,0,0,-460,-126
25.4485530853271,0,0,-460,-126
25.459545135498,0,0,-460,-126
25.4704208374023,0,0,-460,-126
25.4810009002686,0,0,-460,-126
25.4919414520264,0,0,-460,-126
25.5028610229492,0,0,-460,-126
25.5133876800537,0,0,-460,-126
25.5243377685547,0,0,-460,-126
25.5353298187256,0,0,-460,-126
25.5459098815918,0,0,-460,-126
25.5568618774414,0,0,-460,-126
25.5677661895752,0,0,-460,-126
25.5782489776611,0,0,-460,-126
25.5891494750977,0,0,-460,-126
25.6000366210937,0,0,-460,-126
25.610595703125,0,0,-460,-126
